Player,Position,Team,Projection,Games,PPG,Tier
Jacory Croskey-Merritt,RB,WAS,9.4,14,0.67,17
Clyde Edwards-Helaire,RB,NO,9.3,10,0.93,17
Trent Sherfield,WR,DEN,9.1,15,0.61,17
Jaheim Bell,TE,NE,9,15,0.6,11
Scott Miller,WR,PIT,9,14,0.64,17
Carlos Washington,RB,ATL,8.9,14,0.63,17
Hassan Haskins,RB,LAC,8.8,14,0.63,17
Devontez Walker,WR,BLT,8.7,14,0.62,17
Parris Campbell,WR,DAL,8.4,10,0.84,17
Spencer Rattler,QB,NO,8.1,1,8.1,11
Sione Vaki,RB,DET,8.1,10,0.81,17
Eric Gray,RB,NYG,8,14,0.57,17
Jacob Cowing,WR,SF,7.9,14,0.57,17
Ainias Smith,WR,PHI,7.8,10,0.78,17
River Cracraft,WR,SEA,7.5,10,0.75,17
Bub Means,WR,NO,7.4,10,0.74,17
Ben Sims,TE,GB,7.4,15,0.49,11
Kalel Mullings,RB,TEN,7.3,10,0.73,17
Tahj Brooks,RB,CIN,7.2,10,0.72,17
Harrison Bryant,TE,PHI,7.2,15,0.48,11
David Moore,WR,CAR,7.1,14,0.51,17
Zamir White,RB,LV,7,13,0.53,17
Damien Martinez,RB,SEA,6.9,10,0.69,17
Kendrick Bourne,WR,NE,6.8,14,0.48,17
Frank Gore Jr.,RB,BUF,6.8,10,0.68,17
Laviska Shenault Jr.,WR,BUF,6.7,12,0.56,17
Eric Saubert,TE,SEA,6.7,14,0.48,11
K.J. Osborn,WR,WAS,6.7,10,0.67,17
Tyler Scott,WR,CHI,6.5,14,0.47,17
Trey Palmer,WR,TB,6.1,15,0.41,17
Ronnie Rivers,RB,LA,5.9,10,0.59,17
Mason Tipton,WR,NO,5.9,10,0.59,17
Carson Steele,RB,KC,5.9,15,0.39,17
Robbie Ouzts,RB,SEA,5.8,15,0.39,17
Tim Jones,WR,MIN,5.7,15,0.38,17
Kevin Austin Jr.,WR,NO,5.7,10,0.57,17
Darrynton Evans,RB,BUF,5.5,10,0.55,17
Rondale Moore,WR,MIN,5.4,13,0.41,17
Scott Matlock,RB,LAC,5.3,15,0.35,17
Zach Davidson,TE,BUF,5.3,14,0.38,11
Chris Manhertz,TE,NYG,5.1,15,0.34,11
Jimmy Horn Jr.,WR,CAR,5.1,10,0.51,17
Tucker Fisk,TE,LAC,5,14,0.36,11
Devin Duvernay,WR,CHI,4.9,11,0.45,17
Jalen Reagor,WR,LAC,4.5,12,0.37,17
Rakim Jarrett,WR,TB,4.5,12,0.37,17
Shane Zylstra,TE,DET,4.3,14,0.31,11
James Proche,WR,TEN,4.2,10,0.42,17
Nate Adkins,TE,DEN,4.1,14,0.29,11
Tommy Mellott,WR,LV,4,10,0.4,17
Michael Carter,RB,ARZ,4,14,0.28,17
Irv Smith,TE,HST,4,9,0.44,11
Jared Wiley,TE,KC,4,10,0.4,11
Feleipe Franks,TE,ATL,3.8,14,0.27,11
Terrace Marshall Jr.,WR,PHI,3.7,10,0.37,17
Brenden Bates,TE,CLV,3.7,14,0.27,11
Joshua Cephus,WR,JAX,3.7,10,0.37,17
Erik Ezukanma,WR,MIA,3.4,8,0.43,17
David Bell,WR,CLV,3.4,14,0.24,17
John FitzPatrick,TE,GB,3.3,13,0.26,11
Anthony Firkser,TE,KC,3.3,10,0.33,11
Davis Allen,TE,LA,3.2,15,0.21,11
Isaiah Williams,WR,CIN,3.1,10,0.31,17
Tanner Conner,TE,MIA,2.9,6,0.49,11
