name,team,position,projection
Greg Dulcich,NYG,TE,30.2
Elijah Higgins,ARI,TE,30.1
Cade Stover,HOU,TE,30
Mac Jones,SF,QB,30
AJ Barner,SEA,TE,30
Mack Hollins,NE,WR,29.8
Josh Reynolds,NYJ,WR,29.8
Zach Wilson,MIA,QB,29.7
Luke Schoonmaker,DAL,TE,29.6
Elijah Mitchell,KC,RB,29.5
Sam Howell,MIN,QB,29.5
Joshua Dobbs,NE,QB,29.3
Chimere Dike,TEN,WR,29
Hendon Hooker,DET,QB,28.9
Jahan Dotson,PHI,WR,28.9
Nick Mullens,JAC,QB,28.8
Josh Oliver,MIN,TE,28.7
Cooper Rush,BAL,QB,28.5
Dameon Pierce,HOU,RB,28.5
Antonio Gibson,NE,RB,28.4
Jacory Croskey-Merritt,WAS,RB,28.4
Andy Dalton,CAR,QB,28.3
Mitchell Trubisky,BUF,QB,28.1
Trey Lance,LAC,QB,28.1
Jeremy Ruckert,NYJ,TE,28.1
Tahj Brooks,CIN,RB,27.6
Jake Haener,NO,QB,27.5
Kenneth Gainwell,PIT,RB,27.4
Greg Dortch,ARI,WR,27.3
Davis Mills,HOU,QB,26.9
Jacoby Brissett,ARI,QB,26.4
Grant Calcaterra,PHI,TE,25.8
Kyle Monangai,CHI,RB,25.6
Ricky White III,SEA,WR,25.5
Jimmy Garoppolo,LAR,QB,24.7
Sincere McCormick,LV,RB,24.3
Harrison Bryant,PHI,TE,23.9
Mitchell Evans,CAR,TE,23.6
Emanuel Wilson,GB,RB,23.6
Isaiah Davis,NYJ,RB,23.6
Malachi Corley,NYJ,WR,23.4
Adam Trautman,DEN,TE,23.1
Tez Johnson,TB,WR,23
Khalil Herbert,IND,RB,22.6
Van Jefferson,TEN,WR,22.2
Damien Martinez,SEA,RB,21.8
Ollie Gordon II,MIA,RB,21.4
Jonathon Brooks,CAR,RB,21
Josh Whyle,TEN,TE,21
JuJu Smith-Schuster,KC,WR,20.6
Ja'Lynn Polk,NE,WR,19.4
Drew Sample,CIN,TE,19.1
Raheim Sanders,LAC,RB,19
Colby Parkinson,LAR,TE,18.8
Samaje Perine,CIN,RB,18.6
Ty Chandler,MIN,RB,18.5
Kimani Vidal,LAC,RB,18.3
Alexander Mattison,MIA,RB,18.3
John Metchie III,HOU,WR,18.2
Robert Woods,PIT,WR,18.2
Javon Baker,NE,WR,18
Taylor Heinicke,LAC,QB,17.9
Emari Demercado,ARI,RB,17.8
Brevin Jordan,HOU,TE,16.9
LeQuint Allen Jr.,JAC,RB,16.9
Julian Hill,MIA,TE,16.5
Jalin Hyatt,NYG,WR,16.4
A.J. Dillon,PHI,RB,16.3
Zay Jones,ARI,WR,16.2
Luke Lachey,HOU,TE,16.1
Clyde Edwards-Helaire,NO,RB,16
