Player,Position,Team,Overall Rank,Projection,Floor,Ceiling
Curtis Samuel,WR,BUF,252,106,82,157
Sean Tucker,RB,TB,253,49,30,113
Mack Hollins,WR,NE,254,97,85,169
Emanuel Wilson,RB,GB,255,53,39,93
A.J. Dillon,RB,PHI,256,47,19,118
Russell Wilson,QB,NYG,257,247,161,321
LeQuint Allen,RB,JAC,258,32,24,142
Jordan Whittington,WR,LAR,259,91,71,183
Troy Franklin,WR,DEN,260,91,74,177
Noah Brown,WR,WAS,261,88,70,188
Clyde Edwards-Helaire,RB,NO,262,46,30,102
Brandin Cooks,WR,NO,263,95,74,170
Kayshon Boutte,WR,NE,264,104,68,156
Damien Martinez,RB,SEA,265,29,24,134
Chris Rodriguez,RB,WAS,266,32,26,121
Malik Washington,WR,MIA,267,91,71,170
Dameon Pierce,RB,HOU,268,33,28,115
D.J. Chark Jr.,WR,UNS,269,96,75,158
Foster Moreau,TE,NO,270,72,58,122
Adonai Mitchell,WR,IND,271,71,64,213
Derek Carr,QB,NO,272,244,122,334
Tyler Conklin,TE,LAC,273,63,51,140
Austin Hooper,TE,NE,274,70,59,119
Michael Mayer,TE,LVR,275,67,60,124
Jalen Nailor,WR,MIN,276,92,74,157
Cade Stover,TE,HOU,277,58,38,155
Taysom Hill,TE,NO,278,86,22,107
Demario Douglas,WR,NE,279,91,80,152
Michael Carter,RB,ARI,280,31,19,108
Kalel Mullings,RB,TEN,281,26,19,116
Tim Patrick,WR,DET,282,90,67,162
Christopher Brooks,RB,GB,283,39,28,85
Devaughn Vele,WR,DEN,284,88,59,168
Marquez Valdes-Scantling,WR,SEA,285,90,76,149
Nick Westbrook-Ikhine,WR,MIA,286,81,69,173
Cordarrelle Patterson,RB,PIT,287,39,27,75
Elic Ayomanor,WR,TEN,288,72,57,193
Marcus Yarns,RB,NO,289,24,17,104
Luke Musgrave,TE,GB,290,47,36,160
Ty Chandler,RB,MIN,291,29,26,87
Nathaniel Dell,WR,HOU,292,18,2,25
Gerald Everett,TE,UNS,293,54,43,134
Darnell Washington,TE,PIT,294,55,42,133
Tai Felton,WR,MIN,295,80,64,163
Parker Washington,WR,JAC,296,82,74,151
Allen Lazard,WR,NYJ,297,91,68,136
Sincere McCormick,RB,LVR,298,27,20,80
Raheim Sanders,RB,LAC,299,19,14,98
Craig Reynolds,RB,DET,300,26,20,79
KaVontae Turpin,WR,DAL,301,93,70,126
Van Jefferson,WR,TEN,302,81,68,151
Pierre Strong Jr.,RB,CLE,303,26,20,76
Oronde Gadsden II,TE,LAC,304,48,36,144
Gunnar Helm,TE,TEN,305,47,38,143
Jamaal Williams,RB,UNS,306,28,18,71
Ben Sinnott,TE,WAS,307,38,34,162
Treylon Burks,WR,TEN,308,76,53,167
Jalen Tolbert,WR,DAL,309,81,53,154
Kimani Vidal,RB,LAC,310,21,12,75
Luke McCaffrey,WR,WAS,311,70,52,171
