name,position,team,projection
Stone Smartt,TE,NYJ,113
Elijah Higgins,TE,ARI,98
Carson Steele,RB,KC,36
Montrell Johnson Jr.,RB,PHI,37
Tanner McLachlan,TE,CIN,113
Julius Chestnut,RB,TEN,39
Jase McClellan,RB,ATL,38
Keilan Robinson,RB,PHI,35
Robert Woods,WR,PIT,159
Eric Gray,RB,NYG,32
Lucas Krull,TE,DEN,89
Donovan Edwards,RB,NYJ,12
Tyler Boyd,WR,UNS,127
Hunter Renfrow,WR,CAR,152
Elijah Moore,WR,BUF,138
Tre Tucker,WR,LVR,126
Grant Calcaterra,TE,PHI,93
Arian Smith,WR,NYJ,157
Malachi Corley,WR,NYJ,152
Jeremy Ruckert,TE,NYJ,86
Ja'Lynn Polk,WR,NE,155
Nelson Agholor,WR,UNS,117
Adam Trautman,TE,DEN,83
Johnny Mundt,TE,JAC,68
Harrison Bryant,TE,PHI,89
Josh Oliver,TE,MIN,84
Jacob Cowing,WR,SF,180
Luke Lachey,TE,HOU,100
Kylen Granson,TE,PHI,86
Julian Hill,TE,MIA,72
Daniel Bellinger,TE,NYG,84
Jake Briningstool,TE,KC,102
Isaiah Bond,WR,RK,171
Brock Wright,TE,DET,70
Zay Jones,WR,ARI,126
Caleb Lohner,TE,DEN,90
Davis Allen,TE,LAR,78
Joshua Simon,TE,ATL,89
Charlie Kolar,TE,BAL,76
Derius Davis,WR,LAC,126
Javon Baker,WR,NE,138
Jermaine Burton,WR,CIN,133
Tip Reiman,TE,ARI,77
Devin Culp,TE,TB,74
Colby Parkinson,TE,LAR,62
Jelani Woods,TE,IND,67
Jackson Hawes,TE,BUF,73
Jordan Watkins,WR,SF,146
Jared Wiley,TE,KC,77
Jahan Dotson,WR,PHI,129
Charlie Woerner,TE,ATL,61
Payne Durham,TE,TB,71
John Bates,TE,WAS,55
Andrew Ogletree,TE,IND,70
Mo Alie-Cox,TE,IND,30
Sterling Shepard,WR,TB,112
Jalin Hyatt,WR,NYG,136
Will Mallory,TE,IND,67
John Metchie,WR,HOU,117
Brevyn Spann-Ford,TE,DAL,61
Tez Johnson,WR,TB,125
Jaylin Lane,WR,WAS,126
Nate Adkins,TE,DEN,51
KeAndre Lambert-Smith,WR,LAC,122
Thomas Fidone II,TE,NYG,66
Jaheim Bell,TE,NE,64
Xavier Restrepo,WR,TEN,141
Devontez Walker,WR,BAL,122
Dallin Holker,TE,NO,56
Moliki Matavao,TE,NO,55
Dillon Gabriel,QB,CLE,85
Gavin Bartholomew,TE,MIN,48
Joe Flacco,QB,CLE,99
Shedeur Sanders,QB,CLE,84
Ricky White,WR,SEA,114
Justin Watson,WR,HOU,116
Durham Smythe,TE,CHI,37
Robbie Ouzts,TE,SEA,39
Kenny Pickett,QB,CLE,78
Spencer Rattler,QB,NO,66
Connor Heyward,TE,PIT,38
Olamide Zaccheaus,WR,CHI,74
Mecole Hardman,WR,GB,96
Elijhah Badger,WR,KC,116
Rondale Moore,WR,MIN,47
David Bell,WR,CLE,88
Jake Bobo,WR,SEA,82
Nick Nash,WR,ATL,105
Johnny Wilson,WR,PHI,112
Bo Melton,CB,GB,98
Kevin Austin Jr.,WR,NO,72
Bub Means,WR,NO,73
Charlie Jones,WR,CIN,96
Mason Tipton,WR,NO,74
Cedrick Wilson,WR,NO,69
Skyy Moore,WR,KC,101
Ainias Smith,WR,PHI,106
Jamari Thrash,WR,CLE,82
Casey Washington,WR,ATL,84
Devin Duvernay,WR,CHI,73
Jimmy Horn Jr.,WR,CAR,79
Rakim Jarrett,WR,TB,87
Ashton Dulin,WR,IND,83
DJ Turner,WR,LVR,63
Kaden Prather,WR,BUF,81
Trey Palmer,WR,TB,79
Malik Heath,WR,GB,76
Xavier Gipson,WR,NYJ,69
Michael Woods II,WR,CLE,75
Kobe Hudson,WR,CAR,74
Ryan Miller,WR,TB,76
LaJohntay Wester,WR,BAL,71
Dominic Lovett,WR,DET,68
Jha'Quan Jackson,WR,TEN,75
KhaDarel Hodge,WR,ATL,29
Ryan Flournoy,WR,DAL,54
Jalen Brooks,WR,DAL,53
Bryce Oliver,WR,TEN,64
Tyler Scott,WR,CHI,52
Tyler Johnson,WR,NYJ,40
Antwane Wells Jr.,WR,NYG,56
Konata Mumpfield,WR,LAR,55
Anthony Gould,WR,IND,55
Xavier Hutchinson,WR,HOU,40
Braxton Berrios,WR,HOU,18
Brandon Aiyuk,WR,SF,21
Ryan Fitzgerald,K,CAR,162
Matthew Wright,K,CAR,161
Greg Joseph,K,SF,96
Jalen Milroe,QB,SEA,110
Deshaun Watson,QB,CLE,38
Ben Sauls,K,PIT,5
John Parker Romo,K,NE,2
Anders Carlson,K,UNS,0
Greg Zuerlein,K,UNS,0
Justin Tucker,K,UNS,0
