player,team,position,age,PPR_raw,PPR,pos_rank,overall_rank,games_played,games_started,pass_completion,pass_attempt,pass_yards,pass_td,interception,rush_attempt,rush_yards,rush_yards_per_attempt,rush_td,rec_target,rec,rec_yards,yards_per_reception,rec_td,fumble,fumble_lost,total_td,tpc,tpp
Aaron Shampklin,PIT,RB,25,1.7,1.70,129,,3,0,0,0,0,0,0,6,17,2.83,0,0,0,0,,0,0,0,0,,
Jamari Thrash,CLE,WR,24,5.2,5.20,191,,9,0,0,0,0,0,0,0,0,,0,7,3,22,7.33,0,0,0,0,,
Austin Trammell,JAX,WR,26,4,4.00,192,,1,0,0,0,0,0,0,0,0,,0,3,2,40,20,0,1,1,0,,
Jonathan Ward,PIT,RB,27,2.2,2.20,127,,4,0,0,0,0,0,0,5,22,4.4,0,0,0,0,,0,0,0,0,,
Blake Watson,DEN,RB,25,3.3,3.30,126,,2,0,0,0,0,0,0,4,10,2.5,0,2,1,13,13,0,0,0,0,,
Shane Zylstra,DET,TE,28,3.2,3.20,97,,12,1,0,0,0,0,0,0,0,,0,1,1,22,22,0,0,0,0,,
Kyle Allen,PIT,QB,28,0.8,0.80,71,,1,0,1,1,19,0,0,0,0,,0,0,0,0,,0,0,0,0,,
Robbie Chosen,MIA,WR,31,1.5,1.50,211,,2,0,0,0,0,0,0,0,0,,0,4,1,5,5,0,0,0,0,,
Javon Baker,NWE,WR,22,2.2,2.20,198,,11,1,0,0,0,0,0,0,0,,0,4,1,12,12,0,0,0,0,,
Chris Collier,2TM,RB,24,1.8,1.80,133,,8,0,0,0,0,0,0,5,12,2.4,0,2,1,-4,-4,0,0,0,0,,
Jaelon Darden,2TM,WR,25,1.6,1.60,207,,12,1,0,0,0,0,0,0,0,,0,1,1,6,6,0,0,0,0,,
Tyrion Davis-Price,PHI,RB,24,0.7,0.70,134,,1,0,0,0,0,0,0,3,7,2.33,0,0,0,0,,0,0,0,0,,
Zach Davidson,BUF,TE,26,1.5,1.50,111,,2,0,0,0,0,0,0,0,0,,0,2,1,5,5,0,0,0,0,,
